epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.10888,0.99286,3.31229,1.12192,0.02247,0.70655,0.24909,0.19346,0.76765,3.12527,0.98022,0,0,0
2,2.32656,1.13226,3.31292,1.24121,0.02247,0.70655,0.24909,0.19346,0.76765,3.12527,0.98022,0.000471618,0.000471618,0.000471618
3,3.5142,1.06105,3.05396,1.21999,0.02247,0.70655,0.24909,0.19346,0.76765,3.12527,0.98022,0.000933804,0.000933804,0.000933804
4,4.74307,1.1028,3.3356,1.17452,0.02989,0.92222,0.40797,0.17203,1.48149,3.20561,1.43423,0.00138656,0.00138656,0.00138656
5,5.92902,1.81041,3.1158,1.70933,0.02989,0.92222,0.40797,0.17203,1.48149,3.20561,1.43423,0.00137241,0.00137241,0.00137241
6,7.12353,1.80132,3.19177,1.61342,0.02989,0.92222,0.40797,0.17203,1.48149,3.20561,1.43423,0.00135826,0.00135826,0.00135826
7,8.31791,1.75839,3.0655,1.63878,1,0.15212,0.54236,0.25652,1.38418,2.87717,1.30525,0.00134412,0.00134412,0.00134412
8,9.50494,1.82676,2.30389,1.50135,1,0.15212,0.54236,0.25652,1.38418,2.87717,1.30525,0.00132997,0.00132997,0.00132997
9,10.7084,1.66235,2.45131,1.51347,1,0.15212,0.54236,0.25652,1.38418,2.87717,1.30525,0.00131582,0.00131582,0.00131582
10,11.9257,1.50453,2.38614,1.38698,0.51033,0.17622,0.21137,0.10917,1.54432,2.85775,1.59987,0.00130168,0.00130168,0.00130168
11,13.1009,1.63648,2.48555,1.72809,0.51033,0.17622,0.21137,0.10917,1.54432,2.85775,1.59987,0.00128753,0.00128753,0.00128753
12,14.2793,1.45552,2.06246,1.34766,0.51033,0.17622,0.21137,0.10917,1.54432,2.85775,1.59987,0.00127338,0.00127338,0.00127338
13,15.4557,1.41394,2.15323,1.38363,0.88824,0.08889,0.2226,0.14082,1.26555,2.96502,1.32908,0.00125923,0.00125923,0.00125923
14,16.6923,1.31147,1.99585,1.2958,0.88824,0.08889,0.2226,0.14082,1.26555,2.96502,1.32908,0.00124509,0.00124509,0.00124509
15,17.8237,1.52253,2.36235,1.62814,0.88824,0.08889,0.2226,0.14082,1.26555,2.96502,1.32908,0.00123094,0.00123094,0.00123094
16,18.9567,1.32816,2.31213,1.41719,0.89378,0.1905,0.35795,0.19736,1.39864,2.84223,1.42456,0.00121679,0.00121679,0.00121679
17,20.0933,1.42726,1.8114,1.35994,0.89378,0.1905,0.35795,0.19736,1.39864,2.84223,1.42456,0.00120265,0.00120265,0.00120265
18,21.244,1.43238,1.84413,1.35548,0.89378,0.1905,0.35795,0.19736,1.39864,2.84223,1.42456,0.0011885,0.0011885,0.0011885
19,22.4219,1.65727,1.98238,1.75649,0.93321,0.2,0.357,0.22025,1.3503,2.85659,1.41759,0.00117435,0.00117435,0.00117435
20,23.595,1.34057,1.69746,1.3007,0.93321,0.2,0.357,0.22025,1.3503,2.85659,1.41759,0.00116021,0.00116021,0.00116021
21,24.7414,1.36368,1.74474,1.3126,0.93321,0.2,0.357,0.22025,1.3503,2.85659,1.41759,0.00114606,0.00114606,0.00114606
22,25.8901,1.27028,1.74754,1.30043,0.90103,0.13333,0.3154,0.19703,1.47141,2.89352,1.43786,0.00113191,0.00113191,0.00113191
23,27.0279,1.34238,1.77026,1.40341,0.90103,0.13333,0.3154,0.19703,1.47141,2.89352,1.43786,0.00111776,0.00111776,0.00111776
24,28.2095,1.13931,1.52336,1.21927,0.90103,0.13333,0.3154,0.19703,1.47141,2.89352,1.43786,0.00110362,0.00110362,0.00110362
25,29.3614,1.34265,1.62463,1.4105,0.94263,0.10748,0.24108,0.15472,1.75527,3.01267,1.66549,0.00108947,0.00108947,0.00108947
26,30.519,1.15884,1.38346,1.22776,0.94263,0.10748,0.24108,0.15472,1.75527,3.01267,1.66549,0.00107532,0.00107532,0.00107532
27,31.6447,1.18554,1.36506,1.25249,0.94263,0.10748,0.24108,0.15472,1.75527,3.01267,1.66549,0.00106118,0.00106118,0.00106118
28,32.7957,1.33108,1.42231,1.35589,1,0.13818,0.23761,0.16255,1.64891,3.00305,1.65945,0.00104703,0.00104703,0.00104703
29,33.9247,1.22203,1.32802,1.3455,1,0.13818,0.23761,0.16255,1.64891,3.00305,1.65945,0.00103288,0.00103288,0.00103288
30,35.0716,1.01628,1.32678,1.19096,1,0.13818,0.23761,0.16255,1.64891,3.00305,1.65945,0.00101873,0.00101873,0.00101873
31,36.235,1.19321,1.25214,1.19907,0.89876,0.15556,0.22807,0.14284,1.573,3.06809,1.65909,0.00100459,0.00100459,0.00100459
32,37.3925,1.08426,1.14666,1.17298,0.89876,0.15556,0.22807,0.14284,1.573,3.06809,1.65909,0.00099044,0.00099044,0.00099044
33,38.4992,1.19234,1.27505,1.37531,0.89876,0.15556,0.22807,0.14284,1.573,3.06809,1.65909,0.000976293,0.000976293,0.000976293
34,39.6931,1.2918,1.62402,1.41274,0.87105,0.13333,0.26233,0.1471,1.48628,3.11556,1.6364,0.000962146,0.000962146,0.000962146
35,40.8086,1.11491,1.19402,1.28009,0.87105,0.13333,0.26233,0.1471,1.48628,3.11556,1.6364,0.000947999,0.000947999,0.000947999
36,42.0022,1.12751,1.27921,1.22391,0.87105,0.13333,0.26233,0.1471,1.48628,3.11556,1.6364,0.000933851,0.000933851,0.000933851
37,43.1716,1.0943,1.22381,1.12877,0.86761,0.15556,0.24111,0.17868,1.24033,2.99769,1.4241,0.000919704,0.000919704,0.000919704
38,44.3309,1.14932,1.31337,1.24814,0.86761,0.15556,0.24111,0.17868,1.24033,2.99769,1.4241,0.000905557,0.000905557,0.000905557
39,45.4889,1.20962,1.21656,1.26129,0.86761,0.15556,0.24111,0.17868,1.24033,2.99769,1.4241,0.00089141,0.00089141,0.00089141
40,46.644,1.22666,1.33624,1.24515,0.77727,0.1963,0.32051,0.23572,1.09104,2.82969,1.32114,0.000877263,0.000877263,0.000877263
41,47.7553,0.93409,1.03445,1.17449,0.77727,0.1963,0.32051,0.23572,1.09104,2.82969,1.32114,0.000863116,0.000863116,0.000863116
42,48.9418,0.99514,1.09529,1.20273,0.77727,0.1963,0.32051,0.23572,1.09104,2.82969,1.32114,0.000848969,0.000848969,0.000848969
43,50.1333,1.03566,1.07077,1.166,0.89936,0.20777,0.49719,0.36715,1.01777,2.68318,1.23663,0.000834822,0.000834822,0.000834822
44,51.2821,1.04108,1.10158,1.20848,0.89936,0.20777,0.49719,0.36715,1.01777,2.68318,1.23663,0.000820675,0.000820675,0.000820675
45,52.4123,1.04038,1.02704,1.15681,0.89936,0.20777,0.49719,0.36715,1.01777,2.68318,1.23663,0.000806528,0.000806528,0.000806528
46,53.5225,0.99325,1.09478,1.17991,0.94706,0.21267,0.57809,0.4151,0.997,2.50197,1.183,0.00079238,0.00079238,0.00079238
47,54.6181,1.10037,1.00609,1.18685,0.94706,0.21267,0.57809,0.4151,0.997,2.50197,1.183,0.000778233,0.000778233,0.000778233
48,55.7989,0.98874,1.01278,1.17142,0.94706,0.21267,0.57809,0.4151,0.997,2.50197,1.183,0.000764086,0.000764086,0.000764086
49,56.9929,1.08542,1.03907,1.21412,0.58586,0.29787,0.64991,0.4777,1.04894,2.30141,1.18911,0.000749939,0.000749939,0.000749939
50,58.0866,1.16488,1.04721,1.32356,0.58586,0.29787,0.64991,0.4777,1.04894,2.30141,1.18911,0.000735792,0.000735792,0.000735792
51,59.2127,1.12809,1.18481,1.38694,0.58586,0.29787,0.64991,0.4777,1.04894,2.30141,1.18911,0.000721645,0.000721645,0.000721645
52,62.5898,1.07808,1.09922,1.25566,0.6149,0.37599,0.6594,0.49267,1.03941,2.19291,1.17642,0.000707498,0.000707498,0.000707498
53,63.7675,1.00316,1.0027,1.18453,0.6149,0.37599,0.6594,0.49267,1.03941,2.19291,1.17642,0.000693351,0.000693351,0.000693351
54,64.9009,1.13146,1.12313,1.24729,0.6149,0.37599,0.6594,0.49267,1.03941,2.19291,1.17642,0.000679204,0.000679204,0.000679204
55,66.0766,0.99355,1.07534,1.1545,0.63336,0.50758,0.69978,0.53881,0.97209,2.06732,1.11853,0.000665057,0.000665057,0.000665057
56,67.1588,1.13611,1.19973,1.33078,0.63336,0.50758,0.69978,0.53881,0.97209,2.06732,1.11853,0.000650909,0.000650909,0.000650909
57,68.2836,1.27012,1.0827,1.28038,0.63336,0.50758,0.69978,0.53881,0.97209,2.06732,1.11853,0.000636762,0.000636762,0.000636762
58,69.4819,0.90587,0.97753,1.05278,0.69878,0.55025,0.73618,0.5752,0.93353,2.03126,1.10717,0.000622615,0.000622615,0.000622615
59,70.6251,1.03387,0.92384,1.09195,0.69878,0.55025,0.73618,0.5752,0.93353,2.03126,1.10717,0.000608468,0.000608468,0.000608468
60,71.7442,0.95525,1.00135,1.09716,0.69878,0.55025,0.73618,0.5752,0.93353,2.03126,1.10717,0.000594321,0.000594321,0.000594321
61,72.9127,1.14213,1.03401,1.14999,0.71091,0.53747,0.76618,0.57445,0.99645,2.00046,1.1257,0.000580174,0.000580174,0.000580174
62,74.0101,0.94584,0.92273,1.07406,0.71091,0.53747,0.76618,0.57445,0.99645,2.00046,1.1257,0.000566027,0.000566027,0.000566027
63,75.1791,0.98186,0.9962,1.22857,0.71091,0.53747,0.76618,0.57445,0.99645,2.00046,1.1257,0.00055188,0.00055188,0.00055188
64,76.3557,0.95967,0.95323,1.06729,0.80404,0.63968,0.82532,0.61481,0.95843,1.86806,1.11446,0.000537733,0.000537733,0.000537733
65,77.5329,0.98827,1.02501,1.16192,0.80404,0.63968,0.82532,0.61481,0.95843,1.86806,1.11446,0.000523586,0.000523586,0.000523586
66,78.663,0.93918,0.98147,1.11828,0.80404,0.63968,0.82532,0.61481,0.95843,1.86806,1.11446,0.000509438,0.000509438,0.000509438
67,79.8985,0.97668,0.93974,1.11334,0.88228,0.72131,0.86543,0.63811,0.91568,1.74199,1.09741,0.000495291,0.000495291,0.000495291
68,80.9827,0.96007,0.95036,1.17605,0.88228,0.72131,0.86543,0.63811,0.91568,1.74199,1.09741,0.000481144,0.000481144,0.000481144
69,82.1446,0.96023,0.89898,1.09769,0.88228,0.72131,0.86543,0.63811,0.91568,1.74199,1.09741,0.000466997,0.000466997,0.000466997
70,83.3968,0.95206,0.84562,1.06729,0.95513,0.81667,0.92538,0.68758,0.89699,1.59903,1.09699,0.00045285,0.00045285,0.00045285
71,84.5577,1.00021,0.90253,1.10504,0.95513,0.81667,0.92538,0.68758,0.89699,1.59903,1.09699,0.000438703,0.000438703,0.000438703
72,85.7337,1.04007,1.11261,1.23701,0.95513,0.81667,0.92538,0.68758,0.89699,1.59903,1.09699,0.000424556,0.000424556,0.000424556
73,86.8987,0.95428,0.9171,1.11228,0.94207,0.85366,0.94236,0.70172,0.91308,1.52087,1.10928,0.000410409,0.000410409,0.000410409
74,88.0271,0.95683,0.99924,1.20286,0.94207,0.85366,0.94236,0.70172,0.91308,1.52087,1.10928,0.000396262,0.000396262,0.000396262
75,89.1991,0.86494,0.89451,1.08124,0.94207,0.85366,0.94236,0.70172,0.91308,1.52087,1.10928,0.000382115,0.000382115,0.000382115
76,90.4242,0.95063,0.90388,1.12438,0.94077,0.85906,0.95386,0.70899,0.92282,1.46379,1.11207,0.000367967,0.000367967,0.000367967
77,91.512,0.95646,0.89344,1.10014,0.94077,0.85906,0.95386,0.70899,0.92282,1.46379,1.11207,0.00035382,0.00035382,0.00035382
78,92.6358,0.90051,0.91243,1.15268,0.94077,0.85906,0.95386,0.70899,0.92282,1.46379,1.11207,0.000339673,0.000339673,0.000339673
79,93.846,0.87772,0.94212,1.06048,0.94128,0.86092,0.95812,0.7004,0.91472,1.41988,1.1034,0.000325526,0.000325526,0.000325526
80,94.9816,0.89216,0.83786,1.11437,0.94128,0.86092,0.95812,0.7004,0.91472,1.41988,1.1034,0.000311379,0.000311379,0.000311379
81,96.1775,0.93515,0.83769,1.05408,0.94128,0.86092,0.95812,0.7004,0.91472,1.41988,1.1034,0.000297232,0.000297232,0.000297232
82,97.3443,0.84458,0.99888,1.14233,0.96398,0.85277,0.9571,0.70624,0.88495,1.43117,1.07987,0.000283085,0.000283085,0.000283085
83,98.4676,0.84534,0.79339,1.06432,0.96398,0.85277,0.9571,0.70624,0.88495,1.43117,1.07987,0.000268938,0.000268938,0.000268938
84,99.6759,0.74623,0.87848,1.09505,0.96398,0.85277,0.9571,0.70624,0.88495,1.43117,1.07987,0.000254791,0.000254791,0.000254791
85,100.844,0.71293,0.81822,1.01493,0.96189,0.84793,0.95527,0.73013,0.83203,1.415,1.05467,0.000240644,0.000240644,0.000240644
86,102.007,0.98744,1.023,1.03847,0.96189,0.84793,0.95527,0.73013,0.83203,1.415,1.05467,0.000226497,0.000226497,0.000226497
87,103.166,0.76635,0.76267,1.01823,0.96189,0.84793,0.95527,0.73013,0.83203,1.415,1.05467,0.000212349,0.000212349,0.000212349
88,104.429,0.83438,0.85601,1.02368,0.95274,0.85926,0.95587,0.74418,0.79229,1.3746,1.03125,0.000198202,0.000198202,0.000198202
89,105.531,0.91635,0.87579,1.0784,0.95274,0.85926,0.95587,0.74418,0.79229,1.3746,1.03125,0.000184055,0.000184055,0.000184055
90,106.686,0.92819,0.8794,1.095,0.95274,0.85926,0.95587,0.74418,0.79229,1.3746,1.03125,0.000169908,0.000169908,0.000169908
91,107.812,0.71814,0.78836,1.00509,0.94426,0.87763,0.95692,0.74911,0.75848,1.30807,1.01693,0.000155761,0.000155761,0.000155761
92,108.896,0.68915,0.70638,0.94445,0.94426,0.87763,0.95692,0.74911,0.75848,1.30807,1.01693,0.000141614,0.000141614,0.000141614
93,110.052,0.78172,0.85336,1.11086,0.94426,0.87763,0.95692,0.74911,0.75848,1.30807,1.01693,0.000127467,0.000127467,0.000127467
94,111.222,0.79617,0.88638,1.06746,0.9474,0.90536,0.95934,0.77106,0.72664,1.24653,1.00296,0.00011332,0.00011332,0.00011332
95,112.319,0.79772,0.84245,1.06389,0.9474,0.90536,0.95934,0.77106,0.72664,1.24653,1.00296,9.91726e-05,9.91726e-05,9.91726e-05
96,113.446,0.76516,0.80991,1.06207,0.9474,0.90536,0.95934,0.77106,0.72664,1.24653,1.00296,8.50255e-05,8.50255e-05,8.50255e-05
97,114.598,0.8833,0.95612,1.12936,0.96903,0.93507,0.96207,0.79039,0.6973,1.18636,0.99176,7.08784e-05,7.08784e-05,7.08784e-05
98,115.698,0.73791,0.86708,1.08294,0.96903,0.93507,0.96207,0.79039,0.6973,1.18636,0.99176,5.67313e-05,5.67313e-05,5.67313e-05
99,116.857,0.8892,0.91818,1.27932,0.96903,0.93507,0.96207,0.79039,0.6973,1.18636,0.99176,4.25842e-05,4.25842e-05,4.25842e-05
100,117.986,0.71078,0.77931,1.02744,0.97245,0.93732,0.96429,0.79193,0.68197,1.1283,0.98904,2.84371e-05,2.84371e-05,2.84371e-05
