iter	RMSE
0	0.3909937853
1	0.3826218854
2	0.3743946805
3	0.3668755906
4	0.3592943953
5	0.3519193494
6	0.3448026905
7	0.3379308902
8	0.3316453378
9	0.3250118576
10	0.318574345
11	0.3126680328
12	0.3067180823
13	0.3010096558
14	0.2957336409
15	0.2901891622
16	0.2850087203
17	0.2799634024
18	0.2749904011
19	0.2703697537
20	0.265905016
21	0.2614589505
22	0.2571008747
23	0.2527522105
24	0.2487950987
25	0.244860249
26	0.2409368249
27	0.2370570847
28	0.2333852917
29	0.2297743229
30	0.2262568359
31	0.2228464034
32	0.2196015127
33	0.2164410172
34	0.2135035865
35	0.2104714495
36	0.2076023765
37	0.2047027959
38	0.2019753296
39	0.1992688001
40	0.1966767938
41	0.1942658134
42	0.1918756301
43	0.18965956
44	0.1873830976
45	0.1852639363
46	0.183320411
47	0.1812570011
48	0.1791621136
49	0.1771995453
50	0.1753575937
51	0.1736506319
52	0.1718847826
53	0.1701672111
54	0.1685860849
55	0.167004299
56	0.165425549
57	0.1638933758
58	0.1625150663
59	0.1611130247
60	0.1597703478
61	0.1584064412
62	0.1571386643
63	0.155894085
64	0.1546518961
65	0.1535351573
66	0.152413322
67	0.1513877963
68	0.1503759803
69	0.1492746716
70	0.1483249262
71	0.14733006
72	0.1463519721
73	0.1453882432
74	0.1444443083
75	0.1436025497
76	0.1426626057
77	0.1418950733
78	0.1411000043
79	0.1403334651
80	0.1395256183
81	0.1386409909
82	0.1377823417
83	0.1370149277
84	0.136269792
85	0.1354832719
86	0.1347261091
87	0.1339536645
88	0.1331853545
89	0.1324207142
90	0.1316738149
91	0.131002466
92	0.1302529265
93	0.1296608727
94	0.128999895
95	0.1285196709
96	0.1278648838
97	0.1273119878
98	0.1267929506
99	0.1262129052
100	0.1256100867
101	0.1249908954
102	0.1245509149
103	0.12414755
104	0.1237089052
105	0.1232118436
106	0.1228091513
107	0.1223452272
108	0.1218584681
109	0.1213448122
110	0.1209839057
111	0.1205945493
112	0.1202143071
113	0.1198898953
114	0.1194946355
115	0.1191067842
116	0.1187389573
117	0.1183154369
118	0.1179916875
119	0.1175861735
120	0.1172544329
121	0.1169046723
122	0.1165745018
123	0.116308027
124	0.1159670552
125	0.1156838263
126	0.1153746967
127	0.1150816553
128	0.114735676
129	0.1144791135
130	0.1142010333
131	0.1140292065
