iter	Passed	Remaining
0	20	62445
1	44	65967
2	70	70362
3	93	70082
4	117	70594
5	140	69876
6	162	69468
7	185	69235
8	206	68771
9	229	68703
10	252	68610
11	274	68350
12	297	68340
13	320	68271
14	342	68117
15	364	68071
16	387	67972
17	410	67934
18	433	67965
19	455	67893
20	477	67750
21	500	67712
22	522	67627
23	546	67730
24	570	67840
25	592	67799
26	615	67821
27	639	67844
28	661	67745
29	683	67702
30	707	67758
31	730	67778
32	753	67732
33	776	67719
34	799	67699
35	822	67727
36	847	67864
37	872	68023
38	896	68063
39	921	68200
40	946	68307
41	970	68368
42	995	68441
43	1019	68469
44	1042	68425
45	1064	68386
46	1088	68389
47	1112	68427
48	1136	68434
49	1160	68492
50	1185	68539
51	1208	68509
52	1231	68476
53	1254	68421
54	1276	68333
55	1300	68361
56	1323	68352
57	1346	68315
58	1370	68313
59	1393	68286
60	1416	68244
61	1439	68204
62	1462	68189
63	1485	68133
64	1508	68098
65	1531	68101
66	1554	68063
67	1577	68023
68	1602	68061
69	1625	68046
70	1649	68039
71	1672	68026
72	1696	68042
73	1720	68009
74	1743	68007
75	1766	67952
76	1788	67911
77	1813	67921
78	1837	67926
79	1860	67911
80	1884	67916
81	1907	67872
82	1930	67842
83	1953	67810
84	1977	67812
85	2002	67839
86	2025	67810
87	2048	67799
88	2073	67820
89	2096	67784
90	2119	67747
91	2143	67740
92	2166	67729
93	2192	67788
94	2218	67838
95	2242	67828
96	2267	67853
97	2291	67842
98	2314	67831
99	2337	67796
100	2360	67745
101	2383	67714
102	2406	67680
103	2430	67672
104	2454	67664
105	2478	67660
106	2501	67644
107	2527	67675
108	2550	67659
109	2575	67660
110	2600	67676
111	2624	67683
112	2650	67716
113	2675	67724
114	2700	67743
115	2724	67739
116	2749	67742
117	2771	67701
118	2797	67717
119	2823	67767
120	2847	67745
121	2872	67765
122	2897	67762
123	2920	67736
124	2944	67731
125	2968	67717
126	2992	67690
127	3016	67685
128	3040	67663
129	3062	67619
130	3086	67598
131	3109	67562
132	3132	67535
133	3157	67523
134	3180	67504
135	3205	67497
136	3228	67473
137	3252	67458
138	3277	67453
139	3313	67688
140	3336	67651
141	3360	67632
142	3384	67615
143	3407	67589
144	3431	67571
145	3456	67557
146	3479	67530
147	3503	67518
148	3527	67490
149	3551	67470
150	3574	67433
151	3598	67430
152	3625	67472
153	3651	67473
154	3675	67468
155	3701	67480
156	3726	67484
157	3751	67480
158	3776	67476
159	3801	67469
160	3825	67462
161	3849	67436
162	3874	67428
163	3900	67447
164	3927	67482
165	3952	67480
166	3977	67473
167	4002	67468
168	4027	67465
169	4052	67462
170	4078	67470
171	4102	67456
172	4126	67434
173	4150	67415
174	4174	67388
175	4199	67383
176	4223	67365
177	4247	67347
178	4273	67347
179	4297	67327
180	4321	67310
181	4345	67282
182	4369	67256
183	4393	67233
184	4416	67209
185	4442	67213
186	4468	67211
187	4493	67204
188	4518	67198
189	4542	67183
190	4567	67167
191	4591	67154
192	4604	66963
193	4627	66927
194	4653	66943
195	4680	66954
196	4706	66966
197	4725	66877
198	4752	66895
199	4778	66902
200	4804	66903
201	4828	66883
202	4853	66876
203	4878	66860
204	4905	66880
205	4929	66860
206	4954	66850
207	4978	66829
208	5002	66806
209	5027	66799
210	5054	66805
211	5078	66787
212	5103	66776
213	5128	66762
214	5152	66744
215	5176	66719
216	5202	66715
217	5227	66708
218	5252	66701
219	5277	66687
220	5303	66687
221	5327	66663
222	5351	66643
223	5375	66616
224	5400	66606
225	5425	66592
226	5440	66465
227	5464	66442
228	5488	66414
229	5511	66377
230	5536	66367
231	5561	66349
232	5588	66365
233	5613	66349
234	5639	66349
235	5664	66338
236	5684	66267
237	5725	66442
238	5751	66446
239	5777	66437
240	5802	66426
241	5827	66415
242	5852	66400
243	5876	66373
244	5902	66367
245	5926	66343
246	5950	66325
247	5976	66314
248	6001	66302
249	6024	66272
250	6049	66250
251	6074	66238
252	6098	66214
253	6123	66203
254	6150	66209
255	6174	66187
256	6198	66160
257	6221	66120
258	6245	66092
259	6271	66087
260	6296	66079
261	6340	66257
262	6363	66221
263	6387	66193
264	6410	66165
265	6434	66136
266	6459	66117
267	6483	66090
268	6506	66058
269	6529	66024
270	6552	65985
271	6571	65911
272	6596	65891
273	6621	65872
274	6645	65853
275	6670	65830
276	6694	65804
277	6719	65797
278	6745	65785
279	6771	65777
280	6795	65757
281	6820	65733
282	6844	65709
283	6868	65683
284	6891	65653
285	6917	65639
286	6940	65608
287	6964	65580
288	6989	65569
289	7014	65551
290	7038	65520
291	7062	65498
292	7085	65466
293	7109	65440
294	7133	65413
295	7156	65377
296	7180	65348
297	7204	65327
298	7223	65253
299	7246	65217
