날짜,지점,매출,방문자수
2024-01-01,홍대,952,76
2024-01-02,홍대,1123,102
2024-01-03,강남,962,114
2024-01-04,강남,931,110
2024-01-05,강남,1051,118
2024-01-06,강남,1187,135
2024-01-07,강남,1272,140
2024-01-08,부산,995,96
2024-01-09,부산,1091,118
2024-01-10,강남,967,90
2024-01-11,홍대,983,104
2024-01-12,강남,1038,116
2024-01-13,부산,1321,149
2024-01-14,부산,1343,146
2024-01-15,홍대,1154,118
2024-01-16,부산,1194,113
2024-01-17,강남,1095,118
2024-01-18,홍대,1183,114
2024-01-19,강남,1070,91
2024-01-20,강남,1235,131
2024-01-21,홍대,1469,129
2024-01-22,강남,1155,104
2024-01-23,부산,971,93
2024-01-24,강남,985,87
2024-01-25,홍대,1099,105
2024-01-26,홍대,1120,111
2024-01-27,홍대,1506,153
2024-01-28,강남,1428,126
2024-01-29,홍대,1116,124
2024-01-30,홍대,995,84
2024-01-31,강남,1002,81
2024-02-01,부산,1194,111
2024-02-02,강남,1084,98
2024-02-03,홍대,1391,141
2024-02-04,홍대,1280,123
2024-02-05,강남,1129,122
2024-02-06,부산,1239,113
2024-02-07,홍대,1056,100
2024-02-08,홍대,984,85
2024-02-09,홍대,1215,104
2024-02-10,강남,1541,173
2024-02-11,홍대,1331,116
2024-02-12,부산,1073,111
2024-02-13,홍대,1247,106
2024-02-14,홍대,1021,113
2024-02-15,부산,1194,101
2024-02-16,홍대,1072,113
2024-02-17,강남,1343,142
2024-02-18,강남,1298,140
2024-02-19,강남,1052,103
2024-02-20,부산,1106,110
2024-02-21,홍대,1262,110
2024-02-22,강남,1196,116
2024-02-23,부산,1225,129
2024-02-24,홍대,1353,136
2024-02-25,부산,1473,147
2024-02-26,강남,1215,106
2024-02-27,강남,1285,108
2024-02-28,강남,1288,112
2024-02-29,부산,1233,114
2024-03-01,부산,1272,132
2024-03-02,강남,1512,164
2024-03-03,부산,1620,155
2024-03-04,강남,1238,128
2024-03-05,강남,1235,129
2024-03-06,홍대,1265,114
2024-03-07,부산,1083,113
2024-03-08,강남,1311,132
2024-03-09,강남,1550,164
2024-03-10,부산,1586,154
2024-03-11,홍대,1223,127
2024-03-12,홍대,1077,122
2024-03-13,강남,1195,99
2024-03-14,부산,1054,92
2024-03-15,홍대,1105,124
2024-03-16,부산,1350,129
2024-03-17,부산,1471,148
2024-03-18,강남,1179,110
2024-03-19,홍대,1106,115
2024-03-20,강남,1183,125
2024-03-21,홍대,1126,114
2024-03-22,홍대,1208,113
2024-03-23,홍대,1635,166
2024-03-24,홍대,1607,141
2024-03-25,홍대,1278,132
2024-03-26,부산,1088,101
2024-03-27,강남,1076,93
2024-03-28,부산,1183,100
2024-03-29,홍대,1249,126
2024-03-30,강남,1616,158
2024-03-31,홍대,1381,155
2024-04-01,강남,1096,123
2024-04-02,부산,1110,105
2024-04-03,강남,1264,130
2024-04-04,강남,1341,150
2024-04-05,강남,1147,121
2024-04-06,강남,1520,141
2024-04-07,강남,1562,174
2024-04-08,홍대,1082,104
2024-04-09,강남,1274,145
2024-04-10,강남,1147,115
2024-04-11,부산,1177,122
2024-04-12,강남,1302,134
2024-04-13,부산,1349,130
2024-04-14,홍대,1562,148
2024-04-15,강남,1298,128
2024-04-16,부산,1325,136
2024-04-17,부산,1248,107
2024-04-18,홍대,1055,94
2024-04-19,강남,1081,90
2024-04-20,강남,1517,148
2024-04-21,부산,1400,155
2024-04-22,강남,1267,127
2024-04-23,부산,1276,140
2024-04-24,강남,1085,95
2024-04-25,부산,1128,131
2024-04-26,강남,1253,123
2024-04-27,홍대,1560,172
2024-04-28,강남,1565,141
2024-04-29,강남,1169,121
2024-04-30,홍대,1196,132
2024-05-01,강남,1052,90
