날짜,메뉴,카테고리,단가,수량
2025-01-01,아메리카노,커피,3000,2
2025-01-01,아메리카노,커피,3000,1
2025-01-01,초코라떼,논커피,5000,3
2025-01-01,초코라떼,논커피,5000,3
2025-01-01,아메리카노,커피,3000,2
2025-01-01,아메리카노,커피,3000,1
2025-01-01,아메리카노,커피,3000,3
2025-01-01,바닐라라떼,커피,4800,3
2025-01-01,아메리카노,커피,3000,3
2025-01-02,아메리카노,커피,3000,3
2025-01-02,아메리카노,커피,3000,1
2025-01-02,초코라떼,논커피,5000,1
2025-01-02,녹차라떼,논커피,5000,2
2025-01-02,아메리카노,커피,3000,1
2025-01-02,크로플,디저트,5500,2
2025-01-02,아메리카노,커피,3000,2
2025-01-02,아메리카노,커피,3000,2
2025-01-02,바닐라라떼,커피,4800,1
2025-01-02,초코라떼,논커피,5000,3
2025-01-02,아메리카노,커피,3000,2
2025-01-02,아메리카노,커피,3000,2
2025-01-02,딸기스무디,스무디,6000,3
2025-01-02,망고스무디,스무디,6000,2
2025-01-03,녹차라떼,논커피,5000,1
2025-01-03,녹차라떼,논커피,5000,2
2025-01-03,크로플,디저트,5500,1
2025-01-03,망고스무디,스무디,6000,2
2025-01-03,아메리카노,커피,3000,3
2025-01-03,딸기스무디,스무디,6000,1
2025-01-03,카페라떼,커피,4000,1
2025-01-03,녹차라떼,논커피,5000,3
2025-01-03,치즈케이크,디저트,6500,3
2025-01-03,아메리카노,커피,3000,3
2025-01-03,아메리카노,커피,3000,3
2025-01-04,아메리카노,커피,3000,2
2025-01-04,아메리카노,커피,3000,3
2025-01-04,녹차라떼,논커피,5000,1
2025-01-04,녹차라떼,논커피,5000,1
2025-01-04,아메리카노,커피,3000,1
2025-01-04,딸기스무디,스무디,6000,2
2025-01-04,아메리카노,커피,3000,1
2025-01-04,치즈케이크,디저트,6500,3
2025-01-04,망고스무디,스무디,6000,2
2025-01-04,아메리카노,커피,3000,2
2025-01-04,카페라떼,커피,4000,3
2025-01-05,아메리카노,커피,3000,1
2025-01-05,아메리카노,커피,3000,3
2025-01-05,카푸치노,커피,4500,3
2025-01-05,바닐라라떼,커피,4800,3
2025-01-05,카페라떼,커피,4000,1
2025-01-05,크로플,디저트,5500,1
2025-01-05,카푸치노,커피,4500,1
2025-01-05,초코라떼,논커피,5000,1
2025-01-05,아메리카노,커피,3000,1
2025-01-05,딸기스무디,스무디,6000,2
2025-01-05,바닐라라떼,커피,4800,2
2025-01-05,카페라떼,커피,4000,2
2025-01-05,카푸치노,커피,4500,3
2025-01-05,망고스무디,스무디,6000,1
2025-01-05,녹차라떼,논커피,5000,1
2025-01-06,초코라떼,논커피,5000,2
2025-01-06,아메리카노,커피,3000,2
2025-01-06,아메리카노,커피,3000,1
2025-01-06,크로플,디저트,5500,3
2025-01-06,아메리카노,커피,3000,3
2025-01-06,초코라떼,논커피,5000,3
2025-01-06,치즈케이크,디저트,6500,3
2025-01-06,아메리카노,커피,3000,3
2025-01-06,카푸치노,커피,4500,1
2025-01-06,아메리카노,커피,3000,1
2025-01-06,카푸치노,커피,4500,3
2025-01-06,치즈케이크,디저트,6500,3
2025-01-07,카푸치노,커피,4500,1
2025-01-07,치즈케이크,디저트,6500,2
2025-01-07,아메리카노,커피,3000,1
2025-01-07,망고스무디,스무디,6000,1
2025-01-07,아메리카노,커피,3000,2
2025-01-07,딸기스무디,스무디,6000,3
2025-01-07,초코라떼,논커피,5000,1
2025-01-07,바닐라라떼,커피,4800,3
2025-01-07,아메리카노,커피,3000,3
2025-01-07,망고스무디,스무디,6000,2
2025-01-07,크로플,디저트,5500,3
2025-01-07,초코라떼,논커피,5000,3
2025-01-07,아메리카노,커피,3000,2
2025-01-08,크로플,디저트,5500,3
2025-01-08,카페라떼,커피,4000,3
2025-01-08,카페라떼,커피,4000,1
2025-01-08,아메리카노,커피,3000,2
2025-01-08,아메리카노,커피,3000,3
2025-01-08,아메리카노,커피,3000,1
2025-01-08,아메리카노,커피,3000,3
2025-01-08,바닐라라떼,커피,4800,1
2025-01-08,아메리카노,커피,3000,1
2025-01-08,망고스무디,스무디,6000,1
2025-01-08,카푸치노,커피,4500,2
